n	partition(n)	runtime(n)	memory(n)
198	3345365983698	0.0031530857086181640625	4414776
199	3646072432125	0.0032799243927001953125	4459352
200	3972999029388	0.003241062164306640625	4504152
201	4328363658647	0.0033309459686279296875	4549176
202	4714566886083	0.003423213958740234375	4594424
203	5134205287973	0.0033781528472900390625	4639896
204	5590088317495	0.0034580230712890625	4685592
205	6085253859260	0.0498631000518798828125	4731512
206	6622987708040	0.0035731792449951171875	4777656
207	7206841706490	0.003543853759765625	4824024
208	7840656226137	0.00356292724609375	4870616
209	8528581302375	0.0035750865936279296875	4917432
210	9275102575355	0.003695964813232421875	4964472
211	10085065885767	0.003665924072265625	5011736
212	10963707205259	0.0037219524383544921875	5059224
213	11916681236278	0.003736019134521484375	5106936
214	12950095925895	0.0509178638458251953125	5154872
215	14070545699287	0.004024982452392578125	5203032
216	15285151248481	0.0038669109344482421875	5251416
217	16601598107914	0.003879070281982421875	5300024
218	18028182516671	0.00389003753662109375	5348856
219	19573856161145	0.0039970874786376953125	5397912
220	21248279009367	0.0039730072021484375	5447416
221	23061871173849	0.0040919780731201171875	5496920
222	25025873760111	0.0041010379791259765625	5546648
223	27152408925615	0.052877902984619140625	5596600
224	29454549941750	0.0041019916534423828125	5646776
225	31946390696157	0.004209041595458984375	5697176
226	34643126322519	0.004209995269775390625	5747800
227	37561133582570	0.0042951107025146484375	5798648
228	40718063627362	0.0042669773101806640625	5849720
229	44132934884255	0.0046870708465576171875	5901016
230	47826239745920	0.004354953765869140625	5952536
231	51820051838712	0.051599025726318359375	6004280
232	56138148670947	0.004516124725341796875	6056248
233	60806135438329	0.0044481754302978515625	6108440
234	65851585970275	0.0044758319854736328125	6160856
235	71304185514919	0.004561901092529296875	6213496
236	77195892663512	0.0046741962432861328125	6266360
237	83561103925871	0.004845142364501953125	6319448
238	90436839668817	0.05512905120849609375	6372760
239	97862933703585	0.005010128021240234375	6426296
240	105882246722733	0.004745006561279296875	6480056
241	114540884553038	0.0048329830169677734375	6534040
242	123888443077259	0.0048229694366455078125	6588248
243	133978259344888	0.0048310756683349609375	6642680
244	144867692496445	0.004910945892333984375	6697336
245	156618412527946	0.0536568164825439453125	6752216
246	169296722391554	0.005191802978515625	6807320
247	182973889854026	0.0049459934234619140625	6862648
248	197726516681672	0.0049951076507568359375	6918344
249	213636919820625	0.0053730010986328125	6974120
250	230793554364681	0.0051429271697998046875	7030120
251	249291451168559	0.0052011013031005859375	7086344
252	269232701252579	0.052835941314697265625	7142792
253	290726957916112	0.0052978992462158203125	7199464
254	313891991306665	0.005329132080078125	7256360
255	338854264248680	0.00535106658935546875	7313608
256	365749566870782	0.0054581165313720703125	7370952
